symbol,RSI,SMA,MACD,Signal,Histogram,ATR,OBV,EMA,target,Timp început
BNBUSDC,73.12610682513565,,,,,2.2508709092768373,-303.1029999999999,696.8175771733335,699.39,2023-01-01 00:00:00
BNBUSDC,78.32598241933499,,,,,2.187969749721806,74.9720000000001,697.6860617386668,701.16,2023-01-01 01:00:00
BNBUSDC,73.40051185456477,,,,,2.4257677060296303,-163.8359999999999,698.2668493909335,700.59,2023-01-01 02:00:00
BNBUSDC,54.93099273007468,,,,,2.6106696888648644,-269.2079999999999,698.1654795127469,697.76,2023-01-01 03:00:00
BNBUSDC,57.06862449584376,,,,,2.559207771431552,-119.86999999999992,698.1883836101974,698.28,2023-01-01 04:00:00
BNBUSDC,54.80749474842875,697.0915,,,,2.575357836687841,-186.06699999999992,698.122706888158,697.86,2023-01-01 05:00:00
BNBUSDC,56.05748440247456,697.2625,,,,2.5600751520484057,-89.27499999999992,698.1261655105264,698.14,2023-01-01 06:00:00
BNBUSDC,49.01778515046479,697.363,,,,2.6379168795732846,-161.88099999999991,697.8589324084212,696.79,2023-01-01 07:00:00
BNBUSDC,49.11972661010715,697.3765000000001,,,,2.5581588722569024,-139.16299999999993,697.649145926737,696.81,2023-01-01 08:00:00
BNBUSDC,46.42078742112543,697.418,,,,2.4945857064291515,-150.56099999999992,697.3733167413897,696.27,2023-01-01 09:00:00
BNBUSDC,41.87774714632418,697.3924999999999,,,,2.532865556009519,-206.67299999999992,696.9546533931118,695.28,2023-01-01 10:00:00
BNBUSDC,37.63118633354742,697.213,-0.2496387071416848,,,2.5665078635315464,-325.8069999999999,696.4077227144895,694.22,2023-01-01 11:00:00
BNBUSDC,38.204159924856654,697.0545,-0.4176583493916723,,,2.559275627483414,-92.71299999999992,695.9881781715916,694.31,2023-01-01 12:00:00
BNBUSDC,34.049435772500445,696.8565000000001,-0.6330850394805339,,,2.655973452446505,-220.6109999999999,695.4305425372733,693.2,2023-01-01 13:00:00
BNBUSDC,31.460322683007824,696.6495,-0.8568742121771038,,,2.686525558649496,-333.44999999999993,694.8284340298187,692.42,2023-01-01 14:00:00
BNBUSDC,28.309857203100023,696.3945,-1.1070010658604588,,,2.6981261982917606,-431.793,694.134747223855,691.36,2023-01-01 15:00:00
BNBUSDC,38.50750663533104,696.2445,-1.1603255117279332,,,2.6165742587167844,-115.22999999999996,693.905797779084,692.99,2023-01-01 16:00:00
BNBUSDC,40.24830953726546,696.1395,-1.1641514962482231,,,2.577934707026934,42.62700000000004,693.7846382232672,693.3,2023-01-01 17:00:00
BNBUSDC,43.57761163853888,696.034,-1.1060191308866931,,,2.478831454623439,598.052,693.8077105786138,693.9,2023-01-01 18:00:00
BNBUSDC,49.802610276216896,695.9585,-0.9489522448525348,-0.849300639751871,-0.0996516051006639,2.5148982368439228,738.712,694.0741684628911,695.14,2023-01-01 19:00:00
BNBUSDC,51.02277459116717,695.7589999999999,-0.7943391319215607,-0.838308338185809,0.0439692062642482,2.469462877475573,900.735,694.3393347703129,695.4,2023-01-01 20:00:00
BNBUSDC,53.68094643244139,695.4995,-0.6186811188624688,-0.7943828943211411,0.1757017754586722,2.431677256691809,1187.427,694.6654678162504,695.97,2023-01-01 21:00:00
