SLFUSDC,0.27,0.2683394,2025-01-14 23:19:38
ACTUSDC,0.25,0.25094700000000003,2025-01-14 23:19:38
POLUSDC,0.4555,0.4554659999999995,2025-01-14 23:19:38
TAOUSDC,418.9,418.95799999999974,2025-01-14 23:19:39
RAYUSDC,5.219,5.128819999999999,2025-01-14 23:19:39
PNUTUSDC,0.6246,0.6237160000000003,2025-01-14 23:19:39
CATIUSDC,0.3074,0.3030641000000001,2025-01-14 23:19:39
EIGENUSDC,3.088,3.068400000000001,2025-01-14 23:19:39
MEMEUSDC,0.00911,0.009065609999999986,2025-01-14 23:19:39
HBARUSDC,0.28984,0.2898895999999998,2025-01-14 23:19:39
FDUSDUSDC,0.9997,0.9996189999999998,2025-01-14 23:19:39
1MBABYDOGEUSDC,0.0027559,0.0027474119999999994,2025-01-14 23:19:39
TROYUSDC,0.002914,0.002887352999999999,2025-01-14 23:19:39
OMUSDC,3.7044,3.7151199999999975,2025-01-14 23:19:39
APEUSDC,1.068,1.0614099999999982,2025-01-14 23:19:39
CETUSUSDC,0.2954,0.29740060000000024,2025-01-14 23:19:39
RSRUSDC,0.013114,0.013090550000000008,2025-01-14 23:19:39
COWUSDC,0.7731,0.7684299999999995,2025-01-14 23:19:39
KAIAUSDC,0.2117,0.2118459999999998,2025-01-14 23:19:40
CHZUSDC,0.0807,0.0807220000000001,2025-01-14 23:19:40
HMSTRUSDC,0.003246,0.0032519999999999997,2025-01-14 23:19:40
SANDUSDC,0.5727,0.5728259999999994,2025-01-14 23:19:40
XTZUSDC,1.268,1.2832020000000006,2025-01-14 23:19:40
TURBOUSDC,0.008433,0.008469850000000003,2025-01-14 23:19:40
WUSDC,0.2452,0.24479499999999965,2025-01-14 23:19:40
PYTHUSDC,0.326,0.32208900000000035,2025-01-14 23:19:40
DYDXUSDC,1.2886,1.2889260000000002,2025-01-14 23:19:40
ACXUSDC,0.4321,0.43395599999999956,2025-01-14 23:19:40
ORCAUSDC,3.339,3.340740000000002,2025-01-14 23:19:40
TLMUSDC,0.01192,0.011837549999999988,2025-01-14 23:19:40
PHAUSDC,0.281,0.2798657999999997,2025-01-14 23:19:40
USDCPLN,4.185,4.1908600000000025,2025-01-14 23:19:40
IDEXUSDC,0.05926,0.05928579999999992,2025-01-14 23:19:40
PENGUUSDC,0.032645,0.032368619999999994,2025-01-14 23:19:40
STEEMUSDC,0.2637,0.264447,2025-01-14 23:19:40
1000CATUSDC,0.0263,0.026372900000000032,2025-01-14 23:19:40
USUALUSDC,0.551,0.5453560000000001,2025-01-14 23:19:40
MOVEUSDC,0.8432,0.8398399999999999,2025-01-14 23:19:40
HIVEUSDC,0.5011,0.499189,2025-01-14 23:19:40
BIOUSDC,0.4105,0.4157490000000001,2025-01-14 23:19:40
AIXBTUSDC,0.6261,0.6336629999999996,2025-01-14 23:19:41
COOKIEUSDC,0.5787,0.5522170000000002,2025-01-14 23:19:41
CGPTUSDC,0.4018,0.3986859999999998,2025-01-14 23:19:41
BTCUSDC,96574.71,96602.88020000007,2025-01-14 23:22:27
TRXUSDC,0.221,0.22184900000000007,2025-01-14 23:22:27
XLMUSDC,0.4286,0.4295510000000002,2025-01-14 23:22:27
NEOUSDC,14.88,14.908999999999992,2025-01-14 23:22:27
LINKUSDC,20.37,20.441799999999972,2025-01-14 23:22:27
BNBUSDC,699.3,698.2734999999998,2025-01-14 23:22:27
XRPUSDC,2.6612,2.6719040000000036,2025-01-14 23:22:27
ADAUSDC,0.9968,1.0003269999999989,2025-01-14 23:22:27
LTCUSDC,101.87,101.65490000000004,2025-01-14 23:22:27
USDCUSDT,1.0004,1.000647000000001,2025-01-14 23:22:27
ETHUSDC,3230.05,3226.255099999997,2025-01-14 23:22:28
EOSUSDC,0.7961,0.7947499999999998,2025-01-14 23:22:28
ATOMUSDC,6.264,6.380570000000002,2025-01-14 23:22:28
DOTUSDC,6.647,6.638570000000008,2025-01-14 23:22:28
OPUSDC,1.789,1.8060099999999997,2025-01-14 23:22:28
ORDIUSDC,25.52,25.079299000000006,2025-01-14 23:22:28
INJUSDC,21.07,20.95710000000001,2025-01-14 23:22:28
AVAXUSDC,36.5,36.534199999999956,2025-01-14 23:22:28
DOGEUSDC,0.35589,0.35846369999999994,2025-01-14 23:22:28
