symbol,current_price,predicted_price,timestamp,real_price,accuracy,trend_match
OMNIUSDC,8.56,8.55619999999999,2025-01-14 23:19:37,8.58,0.27738927738939695,False
CFXUSDC,0.1485,0.1483880000000001,2025-01-14 23:19:37,0.1485,0.07542087542080132,True
ETHFIUSDC,1.877,1.8520400000000008,2025-01-14 23:19:37,1.878,1.3823216187432958,False
YGGUSDC,0.4307,0.4312790000000002,2025-01-14 23:19:37,0.4307,0.13443231947995418,False
LDOUSDC,1.879,1.80502,2025-01-14 23:19:37,1.868,3.371520342612421,True
ENSUSDC,32.02,31.90500000000001,2025-01-14 23:19:37,31.97,0.20331560838282958,True
REZUSDC,0.03111,0.0311316799999999,2025-01-14 23:19:37,0.03121,0.2509452098689535,True
CRVUSDC,0.8619,0.8581030000000007,2025-01-14 23:19:37,0.8638,0.6595276684416862,False
BBUSDC,0.3361,0.3386822999999999,2025-01-14 23:19:38,0.3361,0.768313002082675,False
NOTUSDC,0.006266,0.0062630699999999,2025-01-14 23:19:38,0.00627,0.11052631579107214,False
USDCTRY,35.5,35.48010000000001,2025-01-14 23:19:38,35.5,0.05605633802814845,True
ZKUSDC,0.1767,0.1760380000000001,2025-01-14 23:19:38,0.1767,0.3746462931521703,True
ARUSDC,15.78,15.665400000000009,2025-01-14 23:19:38,15.77,0.663284717818584,True
PEOPLEUSDC,0.03877,0.038256,2025-01-14 23:19:38,0.03877,1.3257673458859958,True
ARKMUSDC,1.323,1.2984260000000014,2025-01-14 23:19:38,1.327,2.1532780708363637,False
TNSRUSDC,0.3862,0.3866110000000001,2025-01-14 23:19:38,0.3866,0.0028453181583275393,True
RAREUSDC,0.104,0.1035961999999999,2025-01-14 23:19:38,0.1039,0.2923965351300327,True
NEIROUSDC,0.000766,0.0007661134999999,2025-01-14 23:19:38,0.00076664,0.0686763017974485,True
IOUSDC,2.946,2.9711000000000016,2025-01-14 23:19:38,2.944,0.920516304347883,False
DOGSUSDC,0.000441,0.0004377939999999,2025-01-14 23:19:38,0.0004405,0.6143019296481183,True
RENDERUSDC,7.047,7.0586799999999865,2025-01-14 23:19:38,7.035,0.33660270078161164,False
TONUSDC,5.389,5.424169999999995,2025-01-14 23:19:38,5.388,0.6713066072753328,False
AAVEUSDC,295.32,293.8461999999998,2025-01-14 23:19:38,294.92,0.3640987386410664,True
1000SATSUSDC,0.0001408,0.0001401909999999,2025-01-14 23:19:38,0.0001406,0.2908961593883403,True
ZROUSDC,4.406,4.351500000000002,2025-01-14 23:19:38,4.41,1.3265306122448475,False
SLFUSDC,0.27,0.2683394,2025-01-14 23:19:38,0.27,0.6150370370370415,True
ACTUSDC,0.25,0.250947,2025-01-14 23:19:38,0.2496,0.5396634615384563,False
POLUSDC,0.4555,0.4554659999999995,2025-01-14 23:19:38,0.4555,0.007464324917790033,True
TAOUSDC,418.9,418.9579999999997,2025-01-14 23:19:39,418.4,0.1333652007647487,False
RAYUSDC,5.219,5.128819999999999,2025-01-14 23:19:39,5.221,1.7655621528442984,False
PNUTUSDC,0.6246,0.6237160000000003,2025-01-14 23:19:39,0.6236,0.018601667735764438,True
CATIUSDC,0.3074,0.3030641000000001,2025-01-14 23:19:39,0.3075,1.4425691056910184,False
EIGENUSDC,3.088,3.068400000000001,2025-01-14 23:19:39,3.101,1.0512737826507281,False
MEMEUSDC,0.00911,0.0090656099999999,2025-01-14 23:19:39,0.0091,0.37791208791319864,True
HBARUSDC,0.28984,0.2898895999999998,2025-01-14 23:19:39,0.28929,0.20726606519403068,False
FDUSDUSDC,0.9997,0.9996189999999998,2025-01-14 23:19:39,0.9996,0.0019007603040985595,True
1MBABYDOGEUSDC,0.0027559,0.0027474119999999,2025-01-14 23:19:39,0.0027559,0.30799375884828256,True
TROYUSDC,0.002914,0.0028873529999999,2025-01-14 23:19:39,0.002915,0.9484391080651864,False
OMUSDC,3.7044,3.7151199999999975,2025-01-14 23:19:39,3.7032,0.3218837761935005,False
APEUSDC,1.068,1.0614099999999982,2025-01-14 23:19:39,1.073,1.0801491146320379,False
CETUSUSDC,0.2954,0.2974006000000002,2025-01-14 23:19:39,0.2967,0.23613077182344527,True
RSRUSDC,0.013114,0.01309055,2025-01-14 23:19:39,0.013145,0.41422594142260194,False
COWUSDC,0.7731,0.7684299999999995,2025-01-14 23:19:39,0.777,1.10296010296017,False
KAIAUSDC,0.2117,0.2118459999999998,2025-01-14 23:19:40,0.2118,0.021718602455063248,True
CHZUSDC,0.0807,0.0807220000000001,2025-01-14 23:19:40,0.0807,0.02726146220583057,False
HMSTRUSDC,0.003246,0.0032519999999999,2025-01-14 23:19:40,0.003252,3.080574438427448e-12,True
SANDUSDC,0.5727,0.5728259999999994,2025-01-14 23:19:40,0.5716,0.2144856543036029,False
XTZUSDC,1.268,1.2832020000000006,2025-01-14 23:19:40,1.27,1.0395275590551656,True
TURBOUSDC,0.008433,0.00846985,2025-01-14 23:19:40,0.008413,0.6757399263045157,False
WUSDC,0.2452,0.2447949999999996,2025-01-14 23:19:40,0.2452,0.16517128874404774,True
PYTHUSDC,0.326,0.3220890000000003,2025-01-14 23:19:40,0.3259,1.1693771095427221,True
DYDXUSDC,1.2886,1.2889260000000002,2025-01-14 23:19:40,1.2892,0.02125349053674088,True
ACXUSDC,0.4321,0.4339559999999995,2025-01-14 23:19:40,0.4324,0.35985198889905234,True
ORCAUSDC,3.339,3.340740000000002,2025-01-14 23:19:40,3.339,0.05211141060203873,False
TLMUSDC,0.01192,0.0118375499999999,2025-01-14 23:19:40,0.01192,0.6916946308733235,True
PHAUSDC,0.281,0.2798657999999997,2025-01-14 23:19:40,0.281,0.4036298932385434,True
USDCPLN,4.185,4.1908600000000025,2025-01-14 23:19:40,4.185,0.14002389486267294,False
IDEXUSDC,0.05926,0.0592857999999999,2025-01-14 23:19:40,0.05925,0.060421940928110304,False
PENGUUSDC,0.032645,0.0323686199999999,2025-01-14 23:19:40,0.032585,0.6640478747893392,True
STEEMUSDC,0.2637,0.264447,2025-01-14 23:19:40,0.2637,0.2832764505119445,False
1000CATUSDC,0.0263,0.0263729,2025-01-14 23:19:40,0.02645,0.29149338374291145,True
USUALUSDC,0.551,0.5453560000000001,2025-01-14 23:19:40,0.5538,1.5247381726254778,False
MOVEUSDC,0.8432,0.8398399999999999,2025-01-14 23:19:40,0.8403,0.05474235392123372,True
HIVEUSDC,0.5011,0.499189,2025-01-14 23:19:40,0.4995,0.06226226226226341,True
BIOUSDC,0.4105,0.4157490000000001,2025-01-14 23:19:40,0.4132,0.6168925459825941,True
AIXBTUSDC,0.6261,0.6336629999999996,2025-01-14 23:19:41,0.6273,1.0143472022955005,True
COOKIEUSDC,0.5787,0.5522170000000002,2025-01-14 23:19:41,0.577,4.29514731369147,True
CGPTUSDC,0.4018,0.3986859999999998,2025-01-14 23:19:41,0.4046,1.4616905585764204,False
BTCUSDC,96574.71,96602.88020000009,2025-01-14 23:22:27,96489.82,0.11717318987648638,False
TRXUSDC,0.221,0.221849,2025-01-14 23:22:27,0.221,0.38416289592759667,False
XLMUSDC,0.4286,0.4295510000000002,2025-01-14 23:22:27,0.4286,0.2218852076528702,False
NEOUSDC,14.88,14.908999999999992,2025-01-14 23:22:27,14.84,0.46495956873309946,False
LINKUSDC,20.37,20.44179999999997,2025-01-14 23:22:27,20.35,0.4511056511054901,False
BNBUSDC,699.3,698.2734999999998,2025-01-14 23:22:27,699.27,0.14250575600271662,True
XRPUSDC,2.6612,2.671904000000004,2025-01-14 23:22:27,2.661,0.4097707628712522,False
ADAUSDC,0.9968,1.0003269999999989,2025-01-14 23:22:27,0.995,0.535376884421996,False
LTCUSDC,101.87,101.65490000000004,2025-01-14 23:22:27,101.75,0.09346437346433371,True
USDCUSDT,1.0004,1.000647000000001,2025-01-14 23:22:27,1.0004,0.02469012395051944,False
ETHUSDC,3230.05,3226.255099999997,2025-01-14 23:22:28,3228.56,0.07139096067605426,True
EOSUSDC,0.7961,0.7947499999999998,2025-01-14 23:22:28,0.7961,0.1695766863459596,True
ATOMUSDC,6.264,6.380570000000002,2025-01-14 23:22:28,6.247,2.1381463102289486,False
DOTUSDC,6.647,6.638570000000008,2025-01-14 23:22:28,6.64,0.021536144578193507,True
OPUSDC,1.789,1.80601,2025-01-14 23:22:28,1.79,0.894413407821221,True
ORDIUSDC,25.52,25.07929900000001,2025-01-14 23:22:28,25.51,1.6883614268913838,True
INJUSDC,21.07,20.95710000000001,2025-01-14 23:22:28,21.05,0.4413301662707342,True
AVAXUSDC,36.5,36.53419999999996,2025-01-14 23:22:28,36.49,0.12112907645919686,False
DOGEUSDC,0.35589,0.3584636999999999,2025-01-14 23:22:28,0.35587,0.7288335628178451,False
ARBUSDC,0.7388,0.7405739999999997,2025-01-14 23:22:28,0.739,0.2129905277401546,True
SOLUSDC,187.65,187.36759999999987,2025-01-14 23:22:28,187.48,0.059953061659975326,True
ONTUSDC,0.2538,0.2546240000000002,2025-01-14 23:22:28,0.2536,0.403785488959066,False
ALGOUSDC,0.3707,0.3772068,2025-01-14 23:22:28,0.3703,1.8651903861733703,False
BCHUSDC,438.4,439.6180000000004,2025-01-14 23:22:28,438.3,0.3007072781200962,False
