symbol,RSI,SMA,MACD,Signal,Histogram,ATR,OBV,EMA,target
BNBUSDC,73.12610682513565,,,,,2.2508709092768373,-303.1029999999999,696.8175771733335,699.39
BNBUSDC,78.32598241933499,,,,,2.187969749721806,74.9720000000001,697.6860617386668,701.16
BNBUSDC,73.40051185456477,,,,,2.4257677060296303,-163.8359999999999,698.2668493909335,700.59
BNBUSDC,54.93099273007468,,,,,2.6106696888648644,-269.2079999999999,698.1654795127469,697.76
BNBUSDC,57.06862449584376,,,,,2.5592077714315518,-119.86999999999992,698.1883836101974,698.28
BNBUSDC,54.80749474842875,697.0915,,,,2.575357836687841,-186.06699999999992,698.122706888158,697.86
BNBUSDC,56.057484402474564,697.2625,,,,2.5600751520484057,-89.27499999999992,698.1261655105264,698.14
BNBUSDC,49.01778515046479,697.363,,,,2.6379168795732846,-161.88099999999991,697.8589324084212,696.79
BNBUSDC,49.11972661010715,697.3765000000001,,,,2.5581588722569024,-139.16299999999993,697.649145926737,696.81
BNBUSDC,46.420787421125425,697.418,,,,2.4945857064291515,-150.56099999999992,697.3733167413897,696.27
BNBUSDC,41.87774714632418,697.3924999999999,,,,2.532865556009519,-206.67299999999992,696.9546533931118,695.28
BNBUSDC,37.63118633354742,697.213,-0.2496387071416848,,,2.5665078635315464,-325.8069999999999,696.4077227144895,694.22
BNBUSDC,38.204159924856654,697.0545,-0.41765834939167235,,,2.559275627483414,-92.71299999999991,695.9881781715916,694.31
BNBUSDC,34.049435772500445,696.8565000000001,-0.6330850394805339,,,2.655973452446505,-220.6109999999999,695.4305425372733,693.2
BNBUSDC,31.460322683007824,696.6495,-0.8568742121771038,,,2.686525558649496,-333.44999999999993,694.8284340298187,692.42
BNBUSDC,28.309857203100023,696.3945,-1.1070010658604588,,,2.6981261982917606,-431.79299999999995,694.134747223855,691.36
BNBUSDC,38.50750663533104,696.2445,-1.1603255117279332,,,2.6165742587167844,-115.22999999999996,693.905797779084,692.99
BNBUSDC,40.24830953726546,696.1395,-1.1641514962482233,,,2.577934707026934,42.62700000000004,693.7846382232672,693.3
BNBUSDC,43.57761163853888,696.034,-1.1060191308866933,,,2.478831454623439,598.052,693.8077105786138,693.9
BNBUSDC,49.802610276216896,695.9585,-0.9489522448525349,-0.849300639751871,-0.09965160510066395,2.5148982368439228,738.712,694.0741684628911,695.14
BNBUSDC,51.02277459116717,695.7589999999999,-0.7943391319215607,-0.838308338185809,0.04396920626424827,2.469462877475573,900.735,694.3393347703129,695.4
BNBUSDC,53.68094643244139,695.4995,-0.6186811188624688,-0.7943828943211411,0.17570177545867227,2.431677256691809,1187.4270000000001,694.6654678162504,695.97
BNBUSDC,56.02571935264901,695.2945,-0.43252534089481287,-0.7220113836358755,0.2894860427410626,2.3187182427782074,1272.036,695.0303742530003,696.49
BNBUSDC,54.98803994785082,695.222,-0.29610670754811963,-0.6368304484183243,0.3407237408702046,2.2417040150919685,1177.356,695.2862994024003,696.31
BNBUSDC,58.82107043180791,695.1655,-0.11884302948396908,-0.5332329646314533,0.41438993514748423,2.1336903316567497,1270.351,695.6590395219202,697.15
BNBUSDC,53.71878039223557,695.0865,-0.04800860331408785,-0.43618809236798023,0.3881794890538924,2.2990430476390435,1138.9160000000002,695.7832316175362,696.28
BNBUSDC,40.401085545789414,694.8399999999999,-0.2368647240834889,-0.396323418711082,0.1594586946275931,2.610163866632089,860.4300000000002,695.2685852940291,693.21
BNBUSDC,40.91492449182841,694.6659999999999,-0.3741524001952712,-0.39188921500791984,0.01773681481264866,2.632658453449505,934.0670000000002,694.8768682352234,693.31
BNBUSDC,62.764646365434984,694.807,0.026709419377539234,-0.30816948813082806,0.3348789075083673,2.7348730333650737,1453.2860000000003,695.8274945881788,699.63
BNBUSDC,52.86997685536381,694.8264999999999,0.10354748976214978,-0.2258260925522325,0.3293735823143823,3.2292328381998874,1141.4100000000003,695.993995670543,696.66
BNBUSDC,41.617429810560054,694.659,-0.2147537085378417,-0.22361161574935434,0.008857907211512639,3.7960297306274526,396.45200000000034,695.1811965364344,691.93
BNBUSDC,36.84971125811266,694.411,-0.6746791065388607,-0.31382511390725565,-0.360853992631605,4.111848374804452,-46.34599999999966,693.9969572291475,689.26
BNBUSDC,37.34190364755549,694.167,-1.0137696137300054,-0.45381401387180564,-0.5599555998581998,4.130179809676718,71.36500000000034,693.083565783318,689.43
BNBUSDC,32.09647848773811,693.8129999999999,-1.5319314684953724,-0.6694375047965191,-0.8624939636988533,4.4838874734758365,-299.3089999999996,691.6908526266545,686.12
BNBUSDC,28.20374514338969,693.347,-2.1613525060637357,-0.9678205050499624,-1.1935320010137733,4.786526491216754,-1049.0219999999995,689.9726821013237,683.1
BNBUSDC,28.84994896267539,692.9445,-2.6131057120667265,-1.2968775464533153,-1.3162281656134112,4.79852080360127,-512.8479999999995,688.640145681059,683.31
BNBUSDC,27.552773820945266,692.4095,-3.0186319479713575,-1.6412284267569237,-1.3774035212144338,5.0183170554892005,-1170.4869999999996,687.3701165448472,682.29
BNBUSDC,22.78309268584069,691.6384999999999,-3.653746441082262,-2.0437320296219914,-1.6100144114602708,5.560093888119224,-2212.3309999999997,685.4720932358778,677.88
BNBUSDC,19.251130256595673,690.6205,-4.455915956299236,-2.5261688149574404,-1.929747141341796,6.206653297040602,-4058.191,683.0856745887022,673.54
BNBUSDC,15.529426392815576,689.229,-5.530596733676703,-3.127054398701293,-2.4035423349754095,6.740255292466539,-4992.388,679.9305396709618,667.31
BNBUSDC,15.209220208893807,687.793,-6.359812764571529,-3.7736060718753404,-2.586206692696189,6.859561079881087,-6138.016,677.2804317367695,666.68
BNBUSDC,26.77226135560271,686.5525,-6.579628027927015,-4.334810463085676,-2.2448175648413393,6.89592402439652,-5384.365,676.0563453894156,671.16
BNBUSDC,35.89291328041694,685.5029999999999,-6.330655621405867,-4.733979494749715,-1.5966761266561527,7.406405084981459,-3250.899,675.9450763115325,675.5
BNBUSDC,41.90755390882188,684.63,-5.796211079300747,-4.946425811659921,-0.8497852676408257,7.353748231899182,-2501.053,676.526061049226,678.85
BNBUSDC,47.668568771659714,683.8975,-5.020264944269002,-4.961193638181737,-0.0590713060872643,7.2520988669791535,-826.8449999999998,677.7208488393808,682.5
BNBUSDC,40.41892900446492,682.9019999999999,-4.8441217906769225,-4.937779268680774,0.09365747800385194,7.692507471802766,-1793.1589999999997,677.4506790715046,676.37
BNBUSDC,38.078902471345785,681.9449999999999,-4.83439001175816,-4.9171014172962515,0.08271140553809175,7.885302161333152,-2482.955,676.7745432572037,674.07
BNBUSDC,38.313009496434155,680.99,-4.760504543810157,-4.885782042599033,0.12527749878887562,7.720992454783918,-2226.761,676.261634605763,674.21
BNBUSDC,49.62342131085282,680.105,-4.032525849049648,-4.715130803889156,0.6826049548395083,7.933786197558513,-1856.864,677.3953076846104,681.93
BNBUSDC,50.65827837623484,679.4095,-3.3508043548748674,-4.442265514086299,1.0914611592114314,7.622739908565923,-1348.911,678.4662461476885,682.75
BNBUSDC,56.49202769367743,679.199,-2.3820390320328215,-4.030220217675604,1.6481811856427822,7.350169223804042,-698.735,680.3169969181508,687.72
BNBUSDC,57.36582284683661,679.162,-1.5320714539425353,-3.5305904649289905,1.9985190109864552,7.051310536179636,-542.047,681.9575975345208,688.52
BNBUSDC,58.38953865023891,679.162,-0.7760903434279953,-2.979690440628792,2.2036000972007965,6.717998481637734,-184.82500000000005,683.4520780276166,689.43
BNBUSDC,59.81685027164557,679.3900000000001,-0.07523801646152606,-2.398799955795339,2.3235619393338127,6.38150827052792,1.5769999999999413,684.8976624220933,690.68
BNBUSDC,60.98146759389479,679.8195,0.5552900233722085,-1.8079819599618294,2.363271983334038,6.110358310819656,150.63899999999995,686.2561299376746,691.69
BNBUSDC,61.51663314998993,680.2610000000001,1.0788628178472663,-1.2306130044000105,2.309475822247277,5.807798444976451,199.80799999999994,687.4329039501397,692.14
BNBUSDC,62.17466668436687,680.78,1.5190538925176043,-0.6806796250164876,2.1997335175340917,5.6477761593417615,348.98299999999995,688.4803231601118,692.67
BNBUSDC,58.57260156449438,681.431,1.7054252029570307,-0.20345865942178393,1.9088838623788147,5.627113549530781,192.40699999999995,688.9642585280894,690.9
BNBUSDC,57.61803587800245,682.2755,1.7945146888802128,0.19613601023861543,1.5983786786415974,5.5053044987032775,-976.5340000000001,689.2574068224716,690.43
BNBUSDC,58.19562838940843,683.45,1.8733795033340357,0.5315847088576995,1.3417947944763362,5.236580972027602,-397.45400000000006,689.5659254579773,690.8
BNBUSDC,60.17049754993579,684.7185,2.0135342211730176,0.8279746113207631,1.1855596098522545,5.054641070054293,-150.32700000000006,690.0627403663818,692.05
BNBUSDC,67.70256152634289,686.0495,2.5574898067030745,1.1738776503972255,1.383612156305849,5.0614787891497555,669.0329999999999,691.6061922931056,697.78
BNBUSDC,65.85352579497874,687.124,2.8915007092499536,1.5174022621677712,1.3740984470821824,4.946676377738493,328.0759999999999,692.6829538344845,696.99
BNBUSDC,62.23873513402122,687.953,2.9957941433336828,1.8130806384009537,1.182713504932729,4.8666476914640855,-488.62200000000007,693.2323630675876,695.43
BNBUSDC,60.877684317363354,688.5699999999999,2.996299892050729,2.0497244891309085,0.9465754029198203,4.835361978736024,-763.24,693.5538904540701,694.84
BNBUSDC,65.78117935625264,689.673,3.248932032589096,2.289565997822546,0.9593660347665498,4.823516449075239,17.621999999999957,694.5291123632562,698.43
BNBUSDC,63.69758282058411,690.8475,3.3404366209585987,2.4997401224497566,0.8406964985088421,4.763820643297951,-433.831,695.135289890605,697.56
BNBUSDC,61.760370244173,691.975,3.3102429324053446,2.6618406844408744,0.6484022479644702,4.639669415323995,-745.021,695.460231912484,696.76
BNBUSDC,60.37615850460461,692.6885,3.2041909777564115,2.7703107431039817,0.43388023465242975,4.586714333238151,-1215.853,695.6081855299873,696.2
BNBUSDC,63.6505695055967,693.4655,3.251310489324851,2.8665106923481556,0.3847997969766954,4.407996670781767,-833.7660000000001,696.1445484239898,698.29
BNBUSDC,63.91180315329463,694.0024999999999,3.2647367677408283,2.9461559074266903,0.318580860314138,4.191282276214925,1060.194,696.6076387391919,698.46
BNBUSDC,65.54325713073531,694.5514999999999,3.3210139172947493,3.0211275094003023,0.299886407894447,3.995831482555818,1372.156,697.1861109913535,699.5
BNBUSDC,61.21609137047026,694.9795,3.2068035482296864,3.0582627171661794,0.14854083106350702,3.988259168465251,1214.425,697.3468887930828,697.99
BNBUSDC,63.77460446288967,695.42,3.200435839723127,3.0866973416775694,0.1137384980455578,3.800943827729765,1513.51,697.7755110344663,699.49
BNBUSDC,64.43159407346407,695.8295,3.1900858021214162,3.107375033766339,0.0827107683550774,3.6227570742867,1770.982,698.196408827573,699.88
BNBUSDC,64.04669804268279,696.2104999999999,3.136049894574512,3.113110005927974,0.022939888646538176,3.4823683196959117,1706.56,698.5091270620584,699.76
BNBUSDC,68.72463705249113,696.7044999999999,3.2805397118004294,3.1465959471024654,0.13394376469796399,3.2933879552466916,2193.483,699.3173016496468,702.55
BNBUSDC,65.6894884426358,697.241,3.2829686032246173,3.1738704783268963,0.10909812489772097,3.3331928538531352,1778.5180000000003,699.7798413197174,701.63
BNBUSDC,64.00204817003862,697.7755,3.2067750725374253,3.1804513971690023,0.02632367536842306,3.5381890544767884,995.5440000000002,700.0478730557741,701.12
BNBUSDC,63.34915598345035,698.2819999999999,3.0953781459587617,3.1634367469269544,-0.06805860096819272,3.6219749491939837,854.7710000000002,700.2242984446193,700.93
BNBUSDC,65.74566770798677,698.7864999999999,3.069350603528619,3.144619518247288,-0.0752689147186687,3.4788417240970775,1151.2940000000003,700.6074387556955,702.14
BNBUSDC,65.82522144608853,699.0065,3.017171183065898,3.11912985121101,-0.10195866814511234,3.36882809703141,1304.2100000000003,700.9219510045565,702.18
BNBUSDC,60.80649335265321,699.2,2.8366070082524857,3.0626252826193054,-0.22601827436681976,3.3760605439440314,1150.5660000000003,700.9095608036453,700.86
BNBUSDC,58.40858430753301,699.4385,2.610163771481325,2.9721329803917094,-0.3619692089103843,3.3170116231947984,872.2010000000002,700.7676486429164,700.2
BNBUSDC,59.50303269749032,699.7275,2.436509796558198,2.865008343625007,-0.428498547066809,3.212151540780781,1125.6470000000002,700.7381189143331,700.62
BNBUSDC,52.27273672352686,699.7344999999999,2.1091568555608546,2.7138380460121767,-0.6046811904513221,3.2441615614585633,849.2960000000002,700.3044951314665,698.57
BTCUSDC,57.244480967371494,,,,,335.16552927804156,80.34985,94473.64311914668,94629.99
BTCUSDC,67.47470290118775,,,,,340.15129261366206,170.08492,94575.71449531736,94984.0
BTCUSDC,66.31573666460515,,,,,352.8277230931181,126.59964000000001,94652.56959625389,94959.99
BTCUSDC,56.25529584195628,,,,,362.67219878769515,95.78514000000001,94667.62767700311,94727.86
BTCUSDC,52.69979968512214,,,,,361.0418287024251,51.402920000000016,94660.50214160248,94632.0
BTCUSDC,49.54527812672173,94558.3285,,,,362.6453886265429,13.038640000000015,94636.86771328199,94542.33
